fraction	superkingdom	phylum	class	order	family	genus	species
0.0024173568002283556	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter insuavis
0.001988075265132453	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas aeruginosa
0.0013198084252169266	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidiphilium	s__Acidiphilium multivorum
0.0011094418894036964	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E sp002255865
0.0006924255410248195	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__Ferrimicrobium	s__Ferrimicrobium acidiphilum
0.0006790453373335186	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__JABEUN01	s__JABEUN01 sp013044415
0.0005768354480249705	d__Bacteria	p__Firmicutes	c__Alicyclobacillia	o__Alicyclobacillales	f__Acidibacillaceae	g__JABEUY01	s__JABEUY01 sp013044175
0.0005032443277228157	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__JABEUN01	s__JABEUN01 sp013044385
0.0004623603719993964	d__Bacteria	p__Nitrospirota_A	c__Leptospirillia	o__Leptospirillales	f__Leptospirillaceae	g__Leptospirillum	s__Leptospirillum ferrooxidans
0.00020813650186468006	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Acidiferrobacter	s__Acidiferrobacter thiooxydans
0.00014495220665575932	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Rickettsiaceae	g__SXXS01	s__SXXS01 sp903828265
0.0001338020369130086	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__GCA-000496135	s__GCA-000496135 sp000496135
0.0001338020369130086	d__Bacteria	p__SZUA-79	c__SZUA-79	o__Acidulodesulfobacterales	f__SZUA-79	g__Acidulodesulfobacterium	s__Acidulodesulfobacterium acidiphilum
0.0001330586922634919	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acidibrevibacterium	s__Acidibrevibacterium fodinaquatile
0.00013082865831494175	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__UBA8260	f__Bog-877	g__AG-12	s__AG-12 sp013044295
